district,target,addr,date,target_number,floor,total_floor,building_state,main_use,complete_years,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,parking_type,parking_size,parking_price
大同區,房地(土地+建物),臺北市大同區敦煌路１９７之１號三樓,1080502,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100511,62,1,1,1,無,9160000,147742,,0,0
大同區,房地(土地+建物),臺北市大同區敦煌路１９７之１號五樓之２,1090212,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100511,78.6,2,1,1,無,11210000,142621,,0,0
大同區,房地(土地+建物),臺北市大同區敦煌路１９７之１號五樓,1090528,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100511,62,1,1,1,無,9320000,150323,,0,0
大同區,房地(土地+建物)+車位,臺北市大同區敦煌路１９７之１號五樓之１,1080531,土地2建物1車位1,五層,七層,華廈(10層含以下有電梯),（Ｈ２）集合住宅,1100511,107.99,3,1,1,無,14800000,137050,升降機械,0,1800000
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街１３６巷３０弄５號三樓之２,1100429,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1090424,183.97,4,2,2,有,28500000,174602,坡道平面,35.06,2500000
士林區,房地(土地+建物)+車位,臺北市士林區至誠路一段１３８號十樓,1100505,土地2建物1車位3,十層,十四層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1070702,506.84,0,0,0,有,110000000,268761,坡道平面,125.46,7500000
北投區,房地(土地+建物)+車位,臺北市北投區大度路三段２７０巷６７號三樓之１,1100628,土地1建物1車位1,三層,十九層,住宅大樓(11層含以上有電梯),一般事務所,1010217,255.6,4,2,2,有,33000000,129108,坡道平面,42.99,0
大同區,房地(土地+建物),臺北市大同區承德路三段１６５之１號二樓之７、二樓之８,1100527,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),一般事務所,960822,75.53,0,0,0,有,13460000,178207,,0,0
大安區,房地(土地+建物),臺北市大安區基隆路二段１２８號八樓,1100430,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),一般事務所,941111,48.05,1,3,2,有,16430000,341935,,0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段１９２號十樓之１,1100528,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),一般事務所,1050616,138.82,1,1,1,有,22610000,233675,坡道平面,52.5,2439200
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段１９２號十樓之２,1100528,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),一般事務所,1050616,138.82,1,1,1,有,22610000,233675,坡道平面,52.5,2439200
松山區,房地(土地+建物)+車位,臺北市松山區八德路四段７９７號九樓之２,1100523,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),一般事務所,881129,107.84,1,2,1,有,16600000,153932,升降平面,42.73,0
文山區,房地(土地+建物),臺北市文山區興隆路三段７６號四樓之２,1090804,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),多戶住宅,1100223,58.12,0,0,0,無,12300000,211631,,0,0
信義區,房地(土地+建物),臺北市信義區永吉路２７８巷５８弄１１號四樓,1100606,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住宅,,107.15,7,3,2,無,21500000,200653,,0,0
松山區,房地(土地+建物),臺北市松山區民權東路三段１０６巷３弄４４號,1100428,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,690205,234.1,5,2,3,有,25000000,106787,,0,0
文山區,房地(土地+建物),臺北市文山區萬芳路６０之３號七樓,1100421,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,960921,67.17,2,2,1,有,12000000,178651,,0,0
中山區,房地(土地+建物),臺北市中山區民權東路二段１３５巷３３號七樓,1100613,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,720207,101.11,3,2,2,有,15600000,154287,,0,0
中山區,房地(土地+建物),臺北市中山區民生東路二段８３號七樓之４７,1100417,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,690314,45.69,1,1,1,有,6580000,144014,,0,0
信義區,房地(土地+建物),臺北市信義區吳興街４８３號七樓,1100505,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,780303,127.56,3,2,2,無,29500000,231264,,0,0
大安區,房地(土地+建物),臺北市大安區市民大道四段１１８號七樓之１,1100522,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,770314,67.55,2,1,1,有,18000000,266430,,0,0
北投區,房地(土地+建物),臺北市北投區泉源路３０號七樓之１,1100601,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,670104,51.44,1,1,1,有,5000000,97201,,0,0
內湖區,房地(土地+建物),臺北市內湖區康寧路三段９９巷３９弄１０號七樓之１,1100616,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,971219,46.9,2,1,1,有,10500000,223881,,0,0
