district,target,addr,date,target_number,floor,total_floor,building_state,main_use,complete_years,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,parking_type,parking_size,parking_price
中山區,房地(土地+建物)+車位,松江路１３３巷１２號七樓,1090521,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),（Ｈ２）集合住宅,1081016,213.11,3,2,2,有,55500000,260429,坡道平面,38.77,0
中山區,建物,樂群三路１２６號十三樓,1090505,土地0建物1車位6,十三層,十七層,住宅大樓(11層含以上有電梯),一般事務所,1081216,757.52,0,0,0,無,54258000,70994,坡道平面,177.78,13100000
中山區,建物,樂群三路１２８號十三樓,1090512,土地0建物1車位6,十三層,十七層,住宅大樓(11層含以上有電梯),一般事務所,1081216,705.12,0,0,0,無,48510000,67148,坡道平面,177.78,13100000
中山區,建物,樂群三路１３２號十三樓,1090512,土地0建物1車位6,十三層,十七層,住宅大樓(11層含以上有電梯),一般事務所,1081216,689.13,0,0,0,無,47275000,67157,坡道平面,177.27,12900000
中山區,建物,樂群三路１３０號十三樓,1090512,土地0建物1車位6,十三層,十七層,住宅大樓(11層含以上有電梯),一般事務所,1081216,741.14,0,0,0,無,51070000,66984,坡道平面,177.27,13300000
中山區,建物,樂群三路１２６號十五樓,1090528,土地0建物1車位6,十五層,十七層,住宅大樓(11層含以上有電梯),一般事務所,1081216,757.52,0,0,0,無,53900000,69341,坡道平面,177.78,13700000
中山區,建物,樂群三路１３２號十五樓,1090528,土地0建物1車位6,十五層,十七層,住宅大樓(11層含以上有電梯),一般事務所,1081216,689.13,0,0,0,無,48390000,69531,坡道平面,177.27,12800000
中山區,建物,樂群三路１３０號十五樓,1090528,土地0建物1車位6,十五層,十七層,住宅大樓(11層含以上有電梯),一般事務所,1081216,741.64,0,0,0,無,52800000,69343,坡道平面,177.78,13700000
中山區,建物,樂群三路１２８號十五樓,1090528,土地0建物1車位6,十五層,十七層,住宅大樓(11層含以上有電梯),一般事務所,1081216,705.12,0,0,0,無,49970000,69538,坡道平面,177.78,13300000
大同區,建物,哈密街５９巷３８弄５０號十三樓,1090519,土地0建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),多戶住宅（Ｈ２）集合住宅,1081105,155.92,3,2,2,有,16620000,106593,,0,0
萬華區,房地(土地+建物),長順街４６巷４９號三樓,1090531,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住工用,610407,94.4,4,2,1,無,9160000,97034,,0,0
萬華區,房地(土地+建物),西園路二段２４３號,1090305,土地1建物1車位0,四層,四層,透天厝,住工用,620131,403.13,6,1,4,無,63060000,156426,,0,0
萬華區,房地(土地+建物),西園路二段２４３之１號,1090305,土地1建物1車位0,四層,四層,透天厝,住工用,620131,392.38,0,4,4,無,63470000,161756,,0,0
萬華區,房地(土地+建物),西園路二段２４３之２號,1090305,土地1建物1車位0,四層,四層,透天厝,住工用,620131,392.38,0,4,4,無,63470000,161756,,0,0
松山區,房地(土地+建物),臺北市松山區八德路三段１５５巷２６弄１４號,1090405,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,710313,135.87,5,3,2,無,26700000,196511,,0,0
大安區,房地(土地+建物),臺北市大安區羅斯福路二段８１巷１１之１號,1090306,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,730821,126.38,3,1,2,無,9800000,77544,,0,0
士林區,房地(土地+建物),臺北市士林區至誠路二段120巷12號,1090327,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),住家用,600819,62.99,2,2,1,無,14800000,234958,,0,0
文山區,房地(土地+建物),臺北市文山區興隆路四段29巷2弄23號,1090220,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,661205,69.47,2,2,1,無,11230000,161653,,0,0
大同區,房地(土地+建物),臺北市大同區哈密街２３巷２之６號,1090416,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,580813,104.67,3,3,3,無,14500000,138531,,0,0
北投區,房地(土地+建物),臺北市北投區富貴一路５巷６號,1090102,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,691218,100.03,3,1,2,無,20000000,199940,,0,0
中山區,房地(土地+建物),臺北市中山區雙城街１９巷１１號,1090325,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,580911,89.74,0,0,0,無,22680000,252730,,0,0
內湖區,房地(土地+建物),臺北市內湖區大湖街160巷2弄7之1號,1090412,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,840516,80.4,3,2,2,無,11300000,140547,,0,0
中山區,房地(土地+建物),臺北市中山區八德路二段３１２巷３５號,1090401,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,610704,102.62,3,2,1,無,21880000,213214,,0,0
大安區,房地(土地+建物),臺北市大安區建國南路一段291巷11號,1090322,土地2建物1車位0,一層,十四層,住宅大樓(11層含以上有電梯),住家用,760216,82.36,2,2,1,有,28800000,349684,,0,0
文山區,房地(土地+建物),臺北市文山區興隆路二段96巷100之5號,1090412,土地4建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,721231,115.09,3,2,2,無,11880000,103224,,0,0
文山區,房地(土地+建物),臺北市文山區興隆路三段２２１巷４弄１１號,1090508,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,690910,90.01,2,1,1,無,13500000,149983,,0,0
大同區,房地(土地+建物),臺北市大同區南京西路１６７巷８號,1090505,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,610414,92.55,0,0,0,無,21500000,232307,,0,0
萬華區,房地(土地+建物),臺北市萬華區萬大路４４９巷２８弄５號,1090420,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,660428,76.84,2,1,1,無,12600000,163977,,0,0
內湖區,房地(土地+建物),臺北市內湖區康樂街１５１巷１弄７號,1090429,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,731022,73.77,0,0,0,無,10000000,135556,,0,0
中山區,房地(土地+建物),臺北市中山區民生西路45巷5弄16號,1090303,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,591002,69.82,0,0,0,無,17800000,254941,,0,0
信義區,房地(土地+建物),臺北市信義區富陽街２１巷６弄１號,1090411,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,,73.42,3,1,1,無,15800000,215200,,0,0
北投區,房地(土地+建物),臺北市北投區知行路316巷18弄9號,1090411,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,710724,84.68,3,2,2,無,12680000,149740,,0,0
中山區,房地(土地+建物),臺北市中山區遼寧街105巷4號,1090331,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,630605,41.98,4,2,2,無,9000000,214388,,0,0
松山區,房地(土地+建物),臺北市松山區民生東路五段６９巷１弄５號,1090221,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,,89.37,4,2,2,無,28000000,313304,,0,0
萬華區,房地(土地+建物),臺北市萬華區長泰街139巷13之5號,1090415,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,651023,62.72,2,1,1,無,5000000,79719,,0,0
南港區,房地(土地+建物),臺北市南港區向陽路１６２巷２８號,1090504,土地1建物1車位0,一層,九層,華廈(10層含以下有電梯),住家用,930115,193.43,4,2,2,無,38000000,196453,,0,0
文山區,房地(土地+建物),臺北市文山區光輝路３０巷３１號,1090503,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,,54.23,2,2,1,無,8300000,153052,,0,0
內湖區,房地(土地+建物),臺北市內湖區康寧路三段269號,1090419,土地1建物1車位0,一層,五層,店面(店鋪),住家用,730801,79.13,0,1,1,無,22900000,289397,,0,0
內湖區,房地(土地+建物),臺北市內湖區陽光街１６１巷１２之２８號,1090501,土地1建物1車位0,一層,五層,套房(1房1廳1衛),住家用,1080716,37.67,1,1,1,有,9250000,245553,,0,0
信義區,房地(土地+建物),臺北市信義區吳興街３４５巷４號,1090311,土地1建物1車位0,一層,四層,店面(店鋪),住家用,610628,65.2,2,2,1,無,22200000,340491,,0,0
信義區,房地(土地+建物),臺北市信義區吳興街３６４巷３２號,1090505,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,700306,29.23,2,1,1,無,4000000,136846,,0,0
松山區,房地(土地+建物),臺北市松山區撫遠街376巷7之1號,1090420,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,630725,97.17,4,2,2,無,22000000,226407,,0,0
士林區,房地(土地+建物),臺北市士林區通河東街一段１６７巷１６弄１２號,1090512,土地1建物3車位0,一層,三層,公寓(5樓含以下無電梯),住家用,590515,60.35,2,1,1,無,5200000,86164,,0,0
文山區,房地(土地+建物),臺北市文山區木柵路三段８５巷１４弄２號,1090310,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,661221,70.86,3,1,1,無,12000000,169348,,0,0
北投區,房地(土地+建物),臺北市北投區知行路３１６巷２２弄４號,1090418,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,710724,81.3,2,2,1,無,11500000,141451,,0,0
大安區,房地(土地+建物),臺北市大安區潮州街１１８號,1090406,土地2建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,720113,164,4,2,2,無,60000000,365854,,0,0
大同區,房地(土地+建物),臺北市大同區重慶北路三段２３６巷５弄２號,1090420,土地2建物1車位0,一層,六層,套房(1房1廳1衛),住家用,1081017,48.21,1,1,1,無,9600000,199129,,0,0
文山區,房地(土地+建物),臺北市文山區景福街133巷28號,1090418,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,700610,97.67,3,2,2,無,19200000,196580,,0,0
中正區,房地(土地+建物),臺北市中正區?門街,1090304,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,,76.81,3,2,2,無,12000000,156230,,0,0
萬華區,房地(土地+建物),臺北市萬華區中華路一段１２巷１號,1090416,土地1建物2車位0,一層,四層,公寓(5樓含以下無電梯),住家用,610807,94.76,3,2,2,無,20500000,216336,,0,0
士林區,房地(土地+建物),臺北市士林區通河東街一段６巷１０號,1090422,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,620815,79.45,3,2,2,無,14300000,179987,,0,0
中山區,房地(土地+建物),臺北市中山區中山北路二段２０巷７之１號,1090417,土地1建物1車位0,一層,六層,店面(店鋪),住家用,651117,136.19,0,0,0,無,70000000,513988,,0,0
文山區,房地(土地+建物),臺北市文山區興隆路二段217巷4弄6號,1090426,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,610308,143.05,5,2,3,無,23000000,160783,,0,0
文山區,房地(土地+建物),臺北市文山區辛亥路4段21巷50號,1090409,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,750624,134.66,3,2,2,有,20580000,152829,,0,0
文山區,房地(土地+建物),臺北市文山區辛亥路4段21巷52號,1090409,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,750624,128.94,3,2,2,有,19700000,152784,,0,0
文山區,房地(土地+建物),臺北市文山區育英街１７巷５弄１５號,1090504,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,660404,106.64,5,2,2,無,23000000,215679,,0,0
內湖區,房地(土地+建物),臺北市內湖區文德路66巷13弄5號,1090426,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,730127,128.32,2,2,2,有,19500000,151964,,0,0
信義區,房地(土地+建物),臺北市信義區吳興街６００巷５１弄５號,1090325,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,670328,69.36,3,1,1,無,5200000,74971,,0,0
大安區,房地(土地+建物),臺北市大安區仁愛路三段５１巷８之１號,1090407,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,671214,130.36,2,2,2,無,45000000,345198,,0,0
士林區,房地(土地+建物),臺北市士林區天母東路８１巷２９號,1090428,土地4建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,720802,96.94,5,2,2,無,16800000,173303,,0,0
萬華區,房地(土地+建物),臺北市萬華區桂林路244巷79號,1090428,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,590422,78.19,3,2,1,無,10500000,134288,,0,0
