The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
文山區,房地(土地+建物),臺北市文山區木新路三段229號3樓,40.75,住,,,1081007,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,109.36,4,0,4,有,無,11850000,108358,,0,0,含增建或未登記建物。；,RPWOMLMKJIOFFAA87CA,109.36,0,0,,
文山區,房地(土地+建物),臺北市文山區福興路78巷20弄51號3樓,33.81,住,,,1081006,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691007,109.42,3,2,2,有,無,10000000,91391,,0,0,含增建或未登記建物。；,RPRNMLNKJIOFFAA37CA,96.18,0,13.24,,
文山區,房地(土地+建物),臺北市文山區萬壽路２５巷９號,60.25,住,,,1081023,土地1建物1車位0,一層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080124,204.79,3,2,3,有,有,67203400,328158,,0,0,本件買賣合約以美金計價且記載依簽約當日美金換算新台幣匯率為基準,RPUOMLOKJIOFFAA87CA,143.23,0,0,,
中正區,房地(土地+建物),臺北市中正區?m門街７５號１０樓,10.65,商,,,1080922,土地2建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071023,88.7,2,1,1,有,有,18250000,205750,,0,0,,RPTNMLPKJIOFFAA77CA,51.47,1.52,4.07,,
中正區,房地(土地+建物),臺北市中正區詔安街２７６巷６號四樓,35.75,住,,,1081029,土地1建物1車位0,四層，露台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,580715,97.41,3,2,1,有,無,15800000,162201,,0,0,,RPTNMLNJKIOFFAA57CA,97.41,0,0,,
文山區,房地(土地+建物),臺北市文山區興隆路三段１８５巷７弄１４號四樓,25.98,住,,,1080928,土地7建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720823,86.73,3,2,2,有,無,8000000,92240,,0,0,,RPPOMLPJKIOFFAA47CA,64.8,0,13.91,,
大同區,房地(土地+建物),臺北市大同區庫倫街43號6樓,24.7,商,,,1081009,土地2建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830304,159.28,3,2,2,有,無,25880000,162481,,0,0,含增建或未登記建物。；,RPVOMLLKJIOFFBA77CA,123.56,2.82,14.09,,
萬華區,房地(土地+建物),臺北市萬華區西園路二段281巷29號3樓,36.75,住,,,1080707,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,621210,92.02,3,2,2,有,無,11000000,119539,,0,0,含增建或未登記建物。；,RPRNMLMKJIOFFBA37CA,92.02,0,0,,
大同區,房地(土地+建物),臺北市大同區承德路三段83號3樓之5,14.62,商,,,1081007,土地2建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870212,94.12,2,2,1,有,有,18700000,198683,,0,0,含增建或未登記建物。；,RPROMLMKJIOFFBA47CA,55.51,10.34,8.2,,
萬華區,房地(土地+建物),臺北市萬華區萬大路４２４巷１１號,30.42,住,,,1081009,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,730216,106.7,0,1,1,有,無,21000000,196813,,0,0,,RPTOMLMKJIOFFBA67CA,95.54,11.16,0,,
大同區,房地(土地+建物),臺北市大同區天水路５２之１號六樓,18.33,商,,,1081024,土地2建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,610320,86.98,0,0,0,無,有,13000000,149460,,0,0,,RPQNMLPKJIOFFBA57CA,80.9,0,6.08,,
中正區,房地(土地+建物),臺北市中正區忠孝東路一段１６２號７樓之１,5.54,商,,,1050918,土地1建物1車位0,七層,十三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1080807,57.32,1,1,1,有,有,18800000,327983,,0,0,,RPOOMLKLJIOFFBA07CA,33.07,2.29,1.96,,
中正區,房地(土地+建物),臺北市中正區忠孝東路一段１６２號１３樓之１,7.22,商,,,1080805,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,74.67,2,1,1,有,有,27000000,361591,,0,0,,RPQOMLKLJIOFFBA27CA,44.12,0.28,4.16,,
萬華區,房地(土地+建物),臺北市萬華區昆明街１７６號二樓,22.71,商,,,1080925,土地3建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,610325,101.45,3,2,1,有,無,14000000,137999,,0,0,,RPWPMLLLJIOFFBA08CA,101.45,0,0,,
內湖區,房地(土地+建物),臺北市內湖區五分街113號4樓,11.6,住,,,1081013,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960709,52.2,2,1,1,有,有,9960000,190805,,0,0,含增建或未登記建物。；,RPURMLLKJIOFFCA08CA,32.6,0.78,4.25,,
中山區,房地(土地+建物),臺北市中山區林森北路107巷62號2樓之1,15.16,商,,,1080922,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,751127,82.64,1,1,1,有,無,12080000,146176,,0,0,含增建或未登記建物。；,RPSNMLMKJIOFFCA57CA,59.82,0,7.85,,
內湖區,房地(土地+建物),臺北市內湖區星雲街１６巷３１號四樓,23.24,住,,,1081009,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730402,89.72,3,2,2,有,無,13600000,151583,,0,0,,RPSNMLPKJIOFFCA87CA,81.28,0,8.44,,
中山區,房地(土地+建物),臺北市中山區長春路182號3樓,28.25,商,,,1080923,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,91.18,2,2,1,有,無,18500000,202895,,0,0,,RPPPMLSKJIOFFCA08CA,91.18,0,0,,
中山區,房地(土地+建物),臺北市中山區林森北路４１６巷３號四樓之８,8.97,商,,,1080705,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,631026,33.72,0,0,0,無,無,4030000,119514,,0,0,,RPSPMLMLJIOFFCA87CA,31.42,0.14,0,,
中山區,房地(土地+建物),臺北市中山區民權東路二段92巷2弄12號,88,住,,,1080927,土地1建物1車位0,全,三層,透天厝,,加強磚造,,220.5,6,6,3,有,無,42700000,193651,,0,0,,RPXPMLTLJIOFFCA09CA,220.5,0,0,,
中山區,房地(土地+建物),臺北市中山區撫順街３３之３號,10.97,商,,,1081024,土地1建物1車位0,一層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,791127,84.45,2,1,1,有,有,13500000,159858,,0,0,,RPQPMLPJKIOFFCA87CA,56.38,14.49,0,,
中山區,房地(土地+建物),臺北市中山區撫順街３５號,11.73,商,,,1081024,土地1建物1車位0,一層，騎樓,九層,店面(店鋪),商業用,鋼筋混凝土造,791127,92.1,1,1,0,有,有,22600000,245385,,0,0,,SPQPMLPJKIOFFCA97CA,69.35,5.99,0,,
中山區,房地(土地+建物),臺北市中山區新生北路三段７０號十樓之６,5.25,商,,,1080924,土地1建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,690801,45.04,1,1,1,有,有,6800000,150977,,0,0,,RPROMLLMKIOFFCA77CA,32.04,0,3.43,,
信義區,房地(土地+建物),臺北市信義區忠孝東路五段71巷12弄10號3樓,11.42,住,,,1080926,土地1建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,980810,50.53,1,1,1,有,有,13300000,263210,,0,0,含增建或未登記建物。；,RPPNMLMKJIOFFDA37CA,24.81,5.61,2.42,,
松山區,房地(土地+建物),臺北市松山區南京東路五段286巷6號5樓,14.43,住,,,1081006,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,650609,61.92,2,2,1,有,有,13000000,209948,,0,0,含增建或未登記建物。；,RPQNMLMKJIOFFDA47CA,61.92,0,0,,
松山區,房地(土地+建物),臺北市松山區光復北路230巷19號3樓,29.77,住,,,1080921,土地3建物1車位0,三層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,910514,138.06,3,2,2,有,有,26200000,189773,,0,0,含增建或未登記建物。；,RPTNMLMKJIOFFDA77CA,80.25,1.29,7.76,,
松山區,房地(土地+建物),臺北市松山區三民路74巷1號二樓之1,27.93,住,,,1080919,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,810413,118.24,3,2,2,有,有,23200000,196211,,0,0,,RPPOMLMKJIOFFDA47CA,77.85,0,7.38,,
