target,addr,date,target_number,floor,total_floor,building_state,house_age,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,cart_price
房地(土地+建物),萬大路424巷61~90號,1100525,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),-1,92.62,3,2,2,無,11500000,124163,0
房地(土地+建物),德昌街185巷12弄1~30號,1100525,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),41,152.97,4,2,2,無,14500000,94790,0
房地(土地+建物),光明路211~240號,1100525,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),24,42.99,1,1,1,有,6350000,147709,0
房地(土地+建物),林森北路557巷1~30號,1100524,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),11,67.02,0,0,0,有,13000000,193972,0
房地(土地+建物),新生北路一段1~30號,1100521,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),40,49.22,2,1,1,有,11250000,228566,0
房地(土地+建物),忠孝東路六段1~30號,1100519,土地3建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),15,66.26,1,1,1,有,16630000,250981,0
房地(土地+建物),林森北路133巷1~30號,1100519,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),-1,68,2,1,1,無,11600000,170588,0
房地(土地+建物)+車位,成功路二段317巷1~30號,1100518,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),6,245.56,3,2,2,有,45180000,183980,0
房地(土地+建物),經貿二路157巷36弄61~90號,1100516,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),13,53.75,1,1,1,有,12500000,232558,0
房地(土地+建物),市民大道四段1~30號,1100516,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),-1,111.32,5,0,5,無,22630000,203288,0
房地(土地+建物),和平東路三段421~450號,1100516,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),1,70.09,2,2,1,有,19000000,271080,0
房地(土地+建物),八德路四段631~660號,1100515,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),12,118.46,3,2,2,有,22000000,185717,0
房地(土地+建物),康樂街72巷17弄151~180號,1100514,土地1建物1車位0,二層,二層,透天厝,36,84.04,7,1,4,無,10000000,118991,0
房地(土地+建物),延平北路六段258巷1~30號,1100514,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),41,117.4,3,1,1,無,12500000,106474,0
房地(土地+建物),忠孝東路四段49巷4弄1~30號,1100514,土地2建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),45,25.87,1,1,1,有,9800000,378817,0
房地(土地+建物),雨聲街8巷1~30號,1100514,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),38,108.31,3,2,2,無,17750000,163881,0
房地(土地+建物)+車位,新生北路二段62巷1~30號,1100514,土地1建物1車位2,十六層,十九層,住宅大樓(11層含以上有電梯),5,321.05,3,2,3,有,76500000,277898,5800000
房地(土地+建物),東園街73巷56弄1~30號,1100513,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),-1,64.15,0,0,0,無,12000000,187062,0
房地(土地+建物),成福路181~210號,1100513,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),15,36.12,2,1,1,有,9080000,251384,0
房地(土地+建物),大理街31~60號,1100512,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),54,17.34,0,0,0,無,6000000,346021,0
房地(土地+建物),環河南路一段61~90號,1100512,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),44,19.1,1,0,1,無,2050000,107330,0
房地(土地+建物),文昌路151~180號,1100512,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),46,105.9,4,2,2,無,16150000,152502,0
房地(土地+建物)+車位,經貿二路157巷36弄91~120號,1100512,土地1建物1車位2,十二層,二十一層,住宅大樓(11層含以上有電梯),7,379.12,4,2,2,無,87380000,281806,6000000
房地(土地+建物),敦化南路一段100巷31~60號,1100511,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),37,159.93,3,2,2,有,45000000,281373,0
房地(土地+建物),復興北路313巷1~30號,1100511,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),35,46.44,3,2,2,有,11500000,247631,0
房地(土地+建物),復興北路313巷1~30號,1100511,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),35,46.44,3,2,2,有,10720000,230835,0
房地(土地+建物)+車位,東湖路43巷26弄1~30號,1100511,土地2建物1車位1,五層,八層,華廈(10層含以下有電梯),15,61.33,0,0,0,有,9700000,158187,0
房地(土地+建物),林口街38巷1~30號,1100510,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),51,75.57,2,2,1,無,16500000,218341,0
房地(土地+建物),東湖路160巷10弄31~60號,1100510,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),40,89.96,3,2,2,無,14360000,159627,0
房地(土地+建物),星雲街168巷31~60號,1100510,土地1建物1車位0,十四層,二十一層,住宅大樓(11層含以上有電梯),24,60.19,2,2,1,有,13700000,227613,0
房地(土地+建物)+車位,中央北路三段40巷19弄1~30號,1100510,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),13,99.14,2,2,1,有,13800000,139197,0
房地(土地+建物)+車位,稻香路161巷1~30號,1100510,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),17,74.63,2,1,1,有,7750000,103846,0
房地(土地+建物)+車位,康定路61~90號,1100510,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),8,149.89,2,2,2,有,28000000,186804,0
房地(土地+建物),永吉路187巷1~30號,1100509,土地2建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),39,104.02,3,2,2,有,20800000,199962,0
房地(土地+建物),仁愛路四段452巷1~30號,1100509,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),41,103.61,2,2,2,無,30100000,290512,0
房地(土地+建物),民權東路六段180巷42弄1~30號,1100509,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),3,56.68,1,1,1,有,14100000,248765,0
房地(土地+建物),民生東路五段177巷6弄1~30號,1100509,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),-1,102.5,3,2,2,無,19500000,190244,0
房地(土地+建物),東湖路113巷1~30號,1100508,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),37,115.27,5,0,5,無,16500000,143142,0
房地(土地+建物),敦化南路一段301~330號,1100508,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),-1,137.33,5,2,2,有,38200000,278162,0
房地(土地+建物)+車位,光明路151巷1~30號,1100508,土地1建物1車位1,十三層,二十七層,住宅大樓(11層含以上有電梯),7,218.35,3,2,2,有,36000000,164873,0
房地(土地+建物)+車位,羅斯福路六段150巷1~30號,1100508,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),4,129.64,2,2,1,有,27900000,215211,0
房地(土地+建物),雨聲街61~90號,1100507,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),33,158.89,4,2,3,無,29880000,188055,0
房地(土地+建物),新東街51巷31~60號,1100507,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),38,113.71,3,2,2,無,24500000,215460,0
房地(土地+建物),市民大道四段211~240號,1100507,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),-1,170.65,4,2,2,無,34600000,202754,0
房地(土地+建物),南京東路三段335巷1~30號,1100507,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),35,41.61,1,1,1,有,10200000,245133,0
房地(土地+建物),信義路二段241~270號,1100507,土地12建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),3,47.02,1,1,1,有,20780000,441940,0
房地(土地+建物)+車位,文德路271~300號,1100507,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),15,67.25,1,1,1,有,12300000,182900,0
房地(土地+建物)+車位,成功路五段450巷1~30號,1100507,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),24,120.53,2,2,1,有,22080000,183191,0
房地(土地+建物),南京西路331~360號,1100506,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),42,33.14,1,1,1,有,5800000,175015,0
房地(土地+建物),長春路241~270號,1100506,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),13,42.32,0,0,0,有,11130000,262996,0
房地(土地+建物)+車位,北安路811~840號,1100506,土地2建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),10,84.5,1,1,1,有,12950000,153254,0
房地(土地+建物),康寧路三段54巷1~30號,1100505,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),25,90,2,2,1,有,20150000,223889,0
房地(土地+建物),基隆路一段151~180號,1100505,土地9建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),31,160.84,0,0,0,有,33660000,209276,0
房地(土地+建物),中山北路一段53巷1~30號,1100505,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),13,34.95,1,1,1,有,8980000,256938,0
房地(土地+建物)+車位,政大三街31~60號,1100505,土地1建物1車位2,四層,五層,華廈(10層含以下有電梯),12,269.48,3,2,2,有,33000000,122458,0
房地(土地+建物),指南路三段24巷1~30號,1100504,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),27,22.92,2,1,1,無,2600000,113488,0
